Rank	3gram	NumberOfTimes
<<<<<<< HEAD
0	(u'of', u'this', u'title')	70043
1	(u'the', u'united', u'states')	49156
2	(u'do', u'do', u'do')	36446
3	(u'section', u'of', u'this')	36376
4	(u'of', u'the', u'united')	28900
5	(u'the', u'secretary', u'of')	24477
6	(u'of', u'this', u'section')	20155
7	(u'under', u'section', u'of')	19765
8	(u'the', u'provisions', u'of')	17927
9	(u'section', u'of', u'title')	16688
10	(u'secretary', u'of', u'the')	16156
11	(u'with', u'respect', u'to')	15885
12	(u'note', u'under', u'section')	13797
13	(u'june', u'ch', u'stat')	11763
14	(u'see', u'section', u'of')	11647
15	(u'set', u'out', u'as')	11061
16	(u'generally', u'this', u'index')	9489
17	(u'by', u'the', u'secretary')	9341
18	(u'referred', u'to', u'in')	9282
19	(u'in', u'the', u'case')	8856
20	(u'the', u'case', u'of')	8592
21	(u'in', u'accordance', u'with')	8388
22	(u'the', u'date', u'of')	8197
23	(u'sections', u'and', u'of')	8153
24	(u'the', u'department', u'of')	8013
25	(u'of', u'the', u'treasury')	7920
26	(u'as', u'may', u'be')	7888
27	(u'effective', u'date', u'of')	7801
28	(u'of', u'section', u'of')	7705
29	(u'provisions', u'of', u'this')	7638
30	(u'of', u'this', u'chapter')	7518
31	(u'shall', u'not', u'be')	7503
32	(u'officers', u'and', u'employees')	7381
33	(u'under', u'this', u'section')	7291
34	(u'and', u'of', u'this')	7221
35	(u'of', u'the', u'interior')	7112
36	(u'by', u'section', u'of')	6987
37	(u'aug', u'ch', u'stat')	6960
38	(u'not', u'more', u'than')	6798
39	(u'mar', u'ch', u'stat')	6502
40	(u'this', u'section', u'shall')	5980
41	(u'july', u'ch', u'stat')	5910
42	(u'district', u'of', u'columbia')	5898
43	(u'of', u'the', u'federal')	5721
44	(u'of', u'the', u'army')	5643
45	(u'the', u'purposes', u'of')	5597
46	(u'to', u'the', u'secretary')	5556
47	(u'this', u'title', u'and')	5478
48	(u'of', u'this', u'act')	5437
49	(u'stat', u'june', u'ch')	5400
50	(u'subject', u'to', u'the')	5371
51	(u'the', u'amount', u'of')	5349
52	(u'rules', u'and', u'regulations')	5341
53	(u'in', u'connection', u'with')	5329
54	(u'united', u'states', u'and')	5282
55	(u'the', u'purpose', u'of')	5248
56	(u'section', u'of', u'the')	5222
57	(u'of', u'the', u'department')	5220
58	(u'the', u'district', u'of')	5166
59	(u'of', u'the', u'secretary')	5150
60	(u'of', u'united', u'states')	5135
61	(u'for', u'purposes', u'of')	5135
62	(u'part', u'of', u'the')	5118
63	(u'for', u'the', u'purpose')	5098
64	(u'of', u'the', u'act')	5065
65	(u'purposes', u'of', u'this')	5045
66	(u'is', u'authorized', u'to')	5024
67	(u'united', u'states', u'or')	4916
68	(u'date', u'of', u'amendment')	4894
69	(u'as', u'provided', u'in')	4771
70	(u'shall', u'be', u'made')	4716
71	(u'section', u'of', u'pub')	4685
72	(u'may', u'ch', u'stat')	4622
73	(u'at', u'the', u'time')	4602
74	(u'in', u'section', u'of')	4565
75	(u'this', u'title', u'shall')	4473
76	(u'transfer', u'of', u'functions')	4409
77	(u'prior', u'to', u'the')	4278
78	(u'references', u'in', u'text')	4236
79	(u'to', u'the', u'extent')	4225
80	(u'of', u'title', u'executive')	4205
