Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms
breyer	majority	Dorsey	5.175601750547046	0.005288110867979577	0.0	0.002552881108679796
breyer	majority	Tinklenberg	5.113833992094862	0.00026350461133069827	0.0	0.0007905138339920949
breyer	majority	Lozman	4.964871194379391	0.00312256049960968	0.0	0.00026021337496747333
breyer	majority	HomeConcrete	5.000697107005926	0.001742767514813524	0.0	0.0003485535029627048
breyer	majority	Robers	4.74648620510151	0.0	0.0	0.0005205622071837585
breyer	majority	Czyzewski	5.171970624235006	0.0030599755201958386	0.0006119951040391676	0.0008159934720522236
breyer	majority	Williamson	5.227856437273625	0.001975633849193283	0.0	0.0
breyer	majority	Coleman	4.922977066205106	0.0099524015577672	0.0	0.00043271311120726956
breyer	majority	MidlandFunding	5.025281991443018	0.003500583430571762	0.0	0.0015558148580318942
breyer	majority	Chadbourne	5.149802371541502	0.0029644268774703555	0.0	0.0003952569169960474
breyer	majority	Kirtsaeng	5.112599040285683	0.002678272514228323	0.00022318937618569356	0.0005579734404642339
breyer	majority	Kasten	5.134984692457556	0.0008349568605622043	0.00027831895352073476	0.0005566379070414695
breyer	majority	Milner	5.440838741887169	0.00399400898652022	0.0	0.0004992511233150275
breyer	majority	Fowler	5.089015151515151	0.0011363636363636363	0.0	0.0007575757575757576
breyer	majority	American_Broadcasting	5.094509639564124	0.00041911148365465214	0.0	0.0027242246437552387
breyer	majority	Reynolds	5.325421611492817	0.0024984384759525295	0.0	0.0009369144284821987
breyer	majority	Henderson	4.727650152228065	0.0027677830058123443	0.0	0.005812344312205923
breyer	majority	Shaw	4.756700167504188	0.0016750418760469012	0.0	0.0004187604690117253
breyer	majority	Bullock	5.193590869183494	0.006145741878841089	0.0	0.0013169446883230904
breyer	majority	CuozzoSpeedTechnologies	5.167102315160568	0.0018670649738610904	0.00018670649738610905	0.0011202389843166542
breyer	dissent	BoardofTrustees	5.241704374057315	0.0007541478129713424	0.0	0.0007541478129713424
breyer	dissent	Hall	4.987275761368378	0.0006257822277847309	0.0	0.0006257822277847309
breyer	dissent	Janus	5.109041835357625	0.001349527665317139	0.0	0.0010796221322537112
breyer	dissent	Chamber	5.4049289099526066	0.0009478672985781991	0.0	0.0009478672985781991
breyer	dissent	SCAHygieneProducts	4.912450066577896	0.0039946737683089215	0.0	0.0016644474034620505
breyer	dissent	Christopher	4.926666666666667	0.0014035087719298245	0.0	0.0007017543859649122
breyer	dissent	Setser	5.182702327196943	0.0024313997915943034	0.0	0.0003473428273706148
breyer	dissent	BakerBotts	5.208955223880597	0.003088008234688626	0.0	0.001544004117344313
breyer	dissent	Mathis	4.778929604628737	0.0014464802314368371	0.0	0.0014464802314368371
breyer	dissent	StarAthletica	4.936661466458658	0.00218408736349454	0.0	0.00218408736349454
breyer	dissent	ATT	5.364472753007785	0.003538570417551309	0.0	0.0010615711252653928
breyer	concurrence	Adoptive_Couple	4.645645645645645	0.003003003003003003	0.0	0.0
breyer	concurrence	Ocasio	4.904958677685951	0.004132231404958678	0.0	0.0
breyer	concurrence	Arlington	5.293971924029727	0.004128819157720892	0.0	0.004128819157720892
breyer	concurrence	Armstrong	5.19811320754717	0.002572898799313894	0.0	0.0
breyer	concurrence	Kiobel	5.162260238465526	0.002851218247796786	0.0	0.0
breyer	concurrence	Ross	5.51	0.02	0.0	0.0
breyer	concurrence	Utility_Air_Regulatory_Group	4.99562436889936	0.0013463480309660047	0.0	0.0003365870077415012
