Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms
kagan	majority	Holder	4.991661874640598	0.001437607820586544	0.0	0.0005750431282346176
kagan	majority	Descamps	5.148683609800639	0.00030436767615279255	0.0	0.0012174707046111702
kagan	majority	Kimble	5.129791666666667	0.007291666666666667	0.0	0.0008333333333333334
kagan	majority	Fry	4.870653452040988	0.005039475894506971	0.0	0.0005039475894506972
kagan	majority	Trucking	5.097157772621809	0.0014501160092807424	0.0	0.0020301624129930394
kagan	majority	Ransom	5.018867924528302	0.0013616028010114763	0.0	0.0007780587434351293
kagan	majority	Caraco	4.8310839014888	0.0011131209127591484	0.0006957005704744677	0.0011131209127591484
kagan	majority	AdvocateHealth	5.2308292175721345	0.0015596568754873928	0.0	0.0015596568754873928
kagan	majority	CSX	5.164913598797896	0.002441773102930128	0.0	0.001314800901577761
kagan	majority	Ross	5.220684448917967	0.001509813789632612	0.0	0.0005032712632108706
kagan	majority	Merrill	5.135386403253922	0.0025179159403447607	0.0	0.0011621150493898896
kagan	majority	Abramski	4.827718006795017	0.004105322763306908	0.0014156285390713476	0.001274065685164213
kagan	majority	Torres	5.158960459183674	0.002232142857142857	0.0	0.0009566326530612245
kagan	majority	Michigan	5.047750977835723	0.0030964797913950455	0.0	0.00211864406779661
kagan	majority	Milner	5.271119842829076	0.0019646365422396855	0.0	0.001768172888015717
kagan	majority	Maslenjak	5.146191105239982	0.0028621752531924264	0.0028621752531924264	0.0015411712901805372
kagan	majority	Voisine	5.038762113160363	0.00437636761487965	0.0	0.0012503907471084713
kagan	majority	FERC	5.168550980188777	0.002593092002904263	0.0	0.0008297894409293641
kagan	majority	Mathis	4.941881583726843	0.0016345804576825282	0.0	0.0009081002542680712
kagan	majority	KindredNursing	5.121340523882897	0.0034668721109399076	0.0	0.001926040061633282
kagan	majority	Henderson	4.779766860949209	0.0012489592006661116	0.00041631973355537054	0.0012489592006661116
kagan	majority	Judulang	5.056754065715234	0.0014935280451377365	0.0	0.000829737802854298
kagan	majority	Scialabba	4.972975688165562	0.002511553144464537	0.0007032348804500703	0.0014064697609001407
kagan	majority	Kloeckner	4.902964276665823	0.002533569799847986	0.0005067139599695972	0.0005067139599695972
kagan	majority	Loughrin	4.880305412081743	0.001796541657309679	0.0	0.0024702447788008085
kagan	dissent	Lockhart	4.936681222707423	0.003572846367606193	0.0031758634378721714	0.0015879317189360857
kagan	dissent	Yates	5.024958092754703	0.0076364313652449245	0.0005587632706276774	0.0020487986589681506
kagan	dissent	AmEx	5.141958041958042	0.004195804195804196	0.0004662004662004662	0.0011655011655011655
kagan	dissent	Michigan	5.147	0.005571428571428572	0.0015714285714285715	0.0007142857142857143
kagan	concurrence	Kirtsaeng	5.02803738317757	0.00778816199376947	0.0	0.001557632398753894
kagan	concurrence	Kurns	5.133574007220217	0.0018050541516245488	0.0	0.0
