Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms
scalia	majority	Sekhar	5.027533918595371	0.002793296089385475	0.0	0.0015961691939345571
scalia	majority	Freeman	5.041309012875536	0.0024141630901287556	0.0	0.001609442060085837
scalia	majority	AmericanExp	5.309812108559499	0.0029227557411273487	0.0	0.0025052192066805845
scalia	majority	Whitfield	4.965827338129497	0.0008992805755395684	0.0	0.002697841726618705
scalia	majority	Arlington	5.317922219200435	0.002991569214033179	0.0	0.0019037258634756595
scalia	majority	Armstrong	5.198044009779951	0.0024449877750611247	0.0	0.0031435557107928748
scalia	majority	Arizona	5.20918984280532	0.0022168480451430876	0.00020153164046755341	0.002015316404675534
scalia	majority	Burrage	4.940294715447155	0.001524390243902439	0.0	0.0005081300813008131
scalia	majority	Utility	5.291698208427959	0.0018925056775170325	0.0	0.0008831693161746152
scalia	majority	Law	5.043740095087164	0.0022187004754358162	0.0	0.001901743264659271
scalia	majority	EEOC	5.185396463205933	0.0011409013120365088	0.0	0.0017113519680547634
scalia	majority	RadLAX	4.919898513954331	0.0014498006524102935	0.0	0.0010873504893077202
scalia	majority	Jesinoski	5.08767576509512	0.0008271298593879239	0.0	0.0016542597187758478
scalia	majority	Shapiro	5.276740237691001	0.003395585738539898	0.0	0.003961516694963215
scalia	majority	MichiganEPA	5.278924001044659	0.0007834943849569079	0.0	0.004439801514755811
scalia	majority	Sandifer	5.0726609963547995	0.0029161603888213854	0.0	0.002430133657351154
scalia	majority	Bormes	5.130598576810381	0.0025115110925073253	0.0	0.0008371703641691084
scalia	majority	Woods	5.25599104143337	0.0008958566629339306	0.0	0.0006718924972004479
scalia	majority	Sester	4.988255872063968	0.002748625687156422	0.0	0.0017491254372813594
scalia	majority	Sackett	5.00834597875569	0.0018968133535660092	0.0	0.0030349013657056147
scalia	dissent	Dorsey	5.313462826523778	0.003683858004018754	0.0	0.003014065639651708
scalia	dissent	Ransom	4.936431989063568	0.002734107997265892	0.0	0.001367053998632946
scalia	dissent	Arizona	5.2171677215189876	0.002768987341772152	0.00039556962025316455	0.0015822784810126582
scalia	dissent	King	4.978986805668676	0.0004886789379377749	0.00016289297931259162	0.0014660368138133247
scalia	dissent	NFIB	5.095934771294743	0.0023130746544844736	0.0	0.002081767189036026
scalia	dissent	American	5.110484780157836	0.005636978579481398	0.0	0.0016910935738444193
scalia	dissent	Gonzalez	4.935949572997154	0.0075233834892232615	0.0	0.0034566897112647418
scalia	dissent	Young	5.263392857142857	0.0013736263736263737	0.0	0.0010302197802197802
scalia	dissent	EPA	5.1858952413557	0.0018829168093118796	0.0	0.003423485107839781
scalia	dissent	Abramski	4.770564695420187	0.003334815473543797	0.0	0.0022232103156958646
scalia	dissent	Michigan	5.28551751279024	0.006296733569460842	0.0	0.0021645021645021645
scalia	dissent	Adoptive	5.090874524714829	0.004055766793409379	0.0	0.0025348542458808617
scalia	dissent	FERC	5.140563821456539	0.007047768206734534	0.0015661707126076742	0.001957713390759593
scalia	dissent	Reynolds	5.26046986721144	0.005107252298263534	0.0	0.006128702757916241
scalia	dissent	Henderson	4.837726805888394	0.0027387880862718246	0.0	0.004792879150975694
scalia	dissent	Vartelas	5.250332299512627	0.002658396101019052	0.0	0.006202924235711121
scalia	concurrence	Decker	4.997461123452872	0.001904157410345922	0.0	0.004760393525864805
scalia	concurrence	HomeConcrete	5.126954346466541	0.0031269543464665416	0.0	0.005628517823639775
scalia	concurrence	Air	4.86340206185567	0.003865979381443299	0.0	0.004510309278350515
scalia	concurrence	Bond	5.017020382433285	0.0027316663164530363	0.0	0.002521538138264341
scalia	concurrence	Castleman	5.122304701307883	0.003181336161187699	0.0	0.0014139271827500884
scalia	concurrence	Lawson	4.9408	0.0	0.0	0.0016
scalia	concurrence	Perez	5.171280276816609	0.0008650519031141869	0.0	0.0034602076124567475
scalia	concurrence	CTS	5.222222222222222	0.0	0.0	0.0
scalia	concurrence	Loughrin	4.527111111111111	0.0026666666666666666	0.0	0.005333333333333333
