Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms	Linguistic Diversity	Avg Sentence Len	Beg w/ Conjunction Sentences	Avg Polarity	Avg Subjectivity
breyer	majority	Dorsey	5.175601750547046	0.005835156819839533	0.0	0.002552881108679796	0.18070751276440555	20.914893617021278	0.06382978723404255	0.08443949566313738	0.24757122222452782
breyer	majority	Tinklenberg	5.113833992094862	0.00026350461133069827	0.0	0.0007905138339920949	0.23425559947299077	26.266009852216747	0.10837438423645321	0.023201588367844528	0.23192191087511288
breyer	majority	Lozman	4.964871194379391	0.0039032006245121	0.0	0.00026021337496747333	0.2820712984647411	18.237179487179485	0.09615384615384616	0.027274187039812048	0.1983984896424801
breyer	majority	HomeConcrete	5.000697107005926	0.001742767514813524	0.0	0.0003485535029627048	0.2624607877309167	21.425641025641024	0.12307692307692308	0.024421615421615424	0.16348508898508896
breyer	majority	Robers	4.74648620510151	0.0	0.0	0.0005205622071837585	0.27225403435710566	25.398058252427184	0.13592233009708737	-0.0025493142240715066	0.20673794113114502
breyer	majority	Czyzewski	5.171970624235006	0.005711954304365565	0.0006119951040391676	0.0010199918400652795	0.2503059975520196	21.514285714285716	0.08571428571428572	0.04338657054291974	0.22880179458988983
breyer	majority	Williamson	5.227856437273625	0.0023049061573921633	0.0	0.0	0.26045439578531443	17.659663865546218	0.09243697478991597	0.04095916396861775	0.16830058538566947
breyer	majority	Coleman	4.922977066205106	0.0099524015577672	0.0	0.00043271311120726956	0.27087840761575077	20.64864864864865	0.04054054054054054	0.01735665048165048	0.19741287147537145
breyer	majority	MidlandFunding	5.025281991443018	0.0066122131466355505	0.0	0.0015558148580318942	0.29871645274212366	20.103092783505154	0.061855670103092786	0.03630532125377485	0.2512995380907752
breyer	majority	Chadbourne	5.149802371541502	0.0035573122529644267	0.0	0.0003952569169960474	0.22134387351778656	23.560655737704916	0.06229508196721312	0.03198422042438436	0.20492695514867637
breyer	majority	Kirtsaeng	5.112599040285683	0.002566677826135476	0.00022318937618569356	0.0005579734404642339	0.18591675036268274	22.460714285714285	0.07857142857142857	0.03839686588921282	0.20038684480202348
breyer	majority	Kasten	5.134984692457556	0.001113275814082939	0.00027831895352073476	0.0005566379070414695	0.2966880044531033	21.760299625468164	0.07116104868913857	0.013620606141673562	0.18771114757069807
breyer	majority	Milner	5.440838741887169	0.004992511233150275	0.0	0.0004992511233150275	0.3944083874188717	23.125874125874127	0.055944055944055944	0.03717881718176878	0.18291736090880126
breyer	majority	Fowler	5.089015151515151	0.0015151515151515152	0.0	0.0007575757575757576	0.23977272727272728	27.552	0.112	0.024145079365079376	0.26282809523809514
breyer	majority	American_Broadcasting	5.094509639564124	0.00041911148365465214	0.0	0.002933780385582565	0.2082984073763621	22.179856115107913	0.07913669064748201	0.038016054688716557	0.20484611012488713
breyer	majority	Reynolds	5.325421611492817	0.0024984384759525295	0.0	0.0009369144284821987	0.23516552154903186	23.056701030927837	0.0979381443298969	0.018411524579372517	0.2150989157964029
breyer	majority	Henderson	4.727650152228065	0.0027677830058123443	0.0	0.005812344312205923	0.2139496263492942	21.920704845814978	0.10572687224669604	-0.009537750289008941	0.22444566983781894
breyer	majority	Shaw	4.756700167504188	0.0037688442211055275	0.0	0.0004187604690117253	0.2675879396984925	23.53472222222222	0.0625	-0.012202518738977073	0.23766465498236325
breyer	majority	Bullock	5.193590869183494	0.00877963125548727	0.0	0.0013169446883230904	0.32484635645302895	19.877906976744185	0.023255813953488372	0.012784909388937627	0.19698128477665444
breyer	majority	CuozzoSpeedTechnologies	5.167102315160568	0.0026138909634055266	0.00018670649738610905	0.0011202389843166542	0.2147124719940254	21.674220963172804	0.05099150141643059	0.026166518994068574	0.21168787991203003
breyer	dissent	BoardofTrustees	5.241704374057315	0.001885369532428356	0.0	0.0007541478129713424	0.29638009049773756	22.80503144654088	0.1069182389937107	0.0387273651837331	0.2063984096354379
breyer	dissent	Hall	4.987275761368378	0.0035460992907801418	0.0	0.0006257822277847309	0.1954526491447643	26.493927125506072	0.08097165991902834	0.04857267367135789	0.24767290308282205
breyer	dissent	Janus	5.109041835357625	0.004588394062078272	0.0	0.0010796221322537112	0.24021592442645073	23.383561643835616	0.1095890410958904	-0.005438772235290502	0.24460930241752163
breyer	dissent	Chamber	5.4049289099526066	0.001137440758293839	0.0	0.0009478672985781991	0.24037914691943127	20.629310344827587	0.10344827586206896	0.027110037153140597	0.22094751997948844
breyer	dissent	SCAHygieneProducts	4.912450066577896	0.005326231691078562	0.0	0.0016644474034620505	0.3132490013315579	20.4337899543379	0.0867579908675799	0.03956210012716864	0.202969255503502
breyer	dissent	Christopher	4.926666666666667	0.004210526315789474	0.0	0.0007017543859649122	0.2631578947368421	24.642857142857142	0.1038961038961039	0.07542910552650814	0.269912752290999
breyer	dissent	Setser	5.182702327196943	0.004168113928447377	0.0	0.0006946856547412296	0.2518235498436957	23.790849673202615	0.11764705882352941	0.03843613371274436	0.24033919123204833
breyer	dissent	BakerBotts	5.208955223880597	0.004632012352032939	0.0	0.001544004117344313	0.27946474523932063	19.72992700729927	0.10218978102189781	0.04989220059475535	0.2353578669910787
breyer	dissent	Mathis	4.778929604628737	0.0019286403085824494	0.0	0.0016875602700096432	0.19310511089681776	24.115384615384617	0.11965811965811966	0.03326764285097618	0.23452770223603558
breyer	dissent	StarAthletica	4.936661466458658	0.0046801872074883	0.00031201248049921997	0.0024960998439937598	0.26365054602184085	19.649769585253456	0.10138248847926268	0.06749313410603734	0.1951332989207413
