Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms	Linguistic Diversity	Avg Sentence Len	Beg w/ Conjunction Sentences	Avg Polarity	Avg Subjectivity
kagan	majority	Holder	4.991661874640598	0.0031627372052903968	0.0	0.0005750431282346176	0.24726854514088556	22.614035087719298	0.09649122807017543	0.013264383338396498	0.19864174852113453
kagan	majority	Descamps	5.148683609800639	0.00030436767615279255	0.0	0.0012174707046111702	0.1999695632323847	24.7292817679558	0.13535911602209943	0.006494782622446395	0.2324931607789738
kagan	majority	Kimble	5.129791666666667	0.0075	0.0	0.0010416666666666667	0.28520833333333334	19.473537604456826	0.11420612813370473	0.05868244974616837	0.23725673216446194
kagan	majority	Fry	4.870653452040988	0.005039475894506971	0.0	0.0006719301192675962	0.2119939526289266	23.213068181818183	0.11647727272727272	0.03135295391687436	0.22860180282943068
kagan	majority	Trucking	5.097157772621809	0.0014501160092807424	0.0002900232018561485	0.0020301624129930394	0.27291183294663574	22.28985507246377	0.0966183574879227	0.011333748109110427	0.2297150420701146
kagan	majority	Ransom	5.018867924528302	0.003501264345458082	0.0	0.0007780587434351293	0.20890877261233223	22.651612903225807	0.035483870967741936	0.034481153980001886	0.23323795448449816
kagan	majority	Caraco	4.8310839014888	0.0011131209127591484	0.0011131209127591484	0.0011131209127591484	0.18269096980659524	23.258992805755394	0.09352517985611511	0.030277066225807232	0.21167565082133422
kagan	majority	AdvocateHealth	5.2308292175721345	0.0015596568754873928	0.0002599428125812321	0.002079542500649857	0.2485053288276579	24.313084112149532	0.1308411214953271	0.056812433412900695	0.2426839552365254
kagan	majority	CSX	5.164913598797896	0.002253944402704733	0.0	0.0015026296018031556	0.21562734785875282	22.997032640949556	0.09495548961424333	0.023095990104521257	0.21969124800356254
kagan	majority	Ross	5.220684448917967	0.001509813789632612	0.0	0.000754906894816306	0.2727730246602919	21.318352059925093	0.0898876404494382	0.03746157738433021	0.21727569740912436
kagan	majority	Merrill	5.135386403253922	0.0025179159403447607	0.0	0.0013558008909548712	0.24171993027309704	20.084468664850135	0.08446866485013624	0.0170967877490357	0.21118140091062437
kagan	majority	Abramski	4.827718006795017	0.004105322763306908	0.0016987542468856172	0.001274065685164213	0.20880520951302378	24.49376558603491	0.09476309226932668	0.006164791201752362	0.26689329144842133
kagan	majority	Torres	5.158960459183674	0.002072704081632653	0.0	0.0011160714285714285	0.2185905612244898	23.87728459530026	0.1122715404699739	0.005457053281792186	0.23339601064214077
kagan	majority	Michigan	5.047750977835723	0.003422425032594524	0.0	0.0022816166883963492	0.23125814863102997	20.668161434977577	0.08968609865470852	0.027396417732740583	0.18333170753013794
kagan	majority	Milner	5.271119842829076	0.0019646365422396855	0.0	0.001768172888015717	0.25147347740667975	20.483516483516482	0.07967032967032966	0.029132506878042592	0.22833451766487484
kagan	majority	Maslenjak	5.146191105239982	0.0028621752531924264	0.0035226772346983706	0.0015411712901805372	0.2562747688243065	21.359322033898305	0.10508474576271186	-0.004740781132922898	0.24848138828300612
kagan	majority	Voisine	5.038762113160363	0.00437636761487965	0.0	0.0012503907471084713	0.27758674585808063	21.669603524229075	0.11013215859030837	0.0030293216939692707	0.1879104647799583
kagan	majority	FERC	5.168550980188777	0.0031117104034851157	0.0	0.0008297894409293641	0.19448190021781972	19.647845468053493	0.10549777117384844	0.0583191043313629	0.21894359149188283
kagan	majority	Mathis	4.941881583726843	0.0018162005085361425	0.0	0.0010897203051216855	0.19723937522702506	24.28048780487805	0.08231707317073171	0.020947363809406486	0.21781690122772437
kagan	majority	KindredNursing	5.121340523882897	0.0034668721109399076	0.0	0.001926040061633282	0.30701078582434516	20.406976744186046	0.11046511627906977	0.026250335581730934	0.22618867243867244
kagan	majority	Henderson	4.779766860949209	0.0012489592006661116	0.00041631973355537054	0.0016652789342214821	0.28975853455453787	22.13422818791946	0.06711409395973154	-0.0015899648449984054	0.23145041014168524
kagan	majority	Judulang	5.056754065715234	0.0031530036508463327	0.0	0.0011616329239960172	0.20677066047129108	21.318987341772154	0.11392405063291139	-0.00028504336732184467	0.24986410869955164
kagan	majority	Scialabba	4.972975688165562	0.002511553144464537	0.0007032348804500703	0.0014064697609001407	0.16847498493068114	27.0	0.13690476190476192	0.04205086401142947	0.2863944183847457
kagan	majority	Kloeckner	4.902964276665823	0.002786926779832784	0.0005067139599695972	0.0005067139599695972	0.21256650620724601	25.3411214953271	0.09813084112149532	0.027987135805894146	0.23098250168093298
kagan	majority	Loughrin	4.880305412081743	0.001796541657309679	0.0	0.0029193801931282283	0.24904558724455422	24.948	0.136	-0.0036509776334776377	0.24338196608946608
kagan	dissent	Lockhart	4.936681222707423	0.00535926955140929	0.0037713378324732037	0.001984914648670107	0.23620484319174276	23.98671096345515	0.11627906976744186	0.04716527134864817	0.2482543363665814
kagan	dissent	Yates	5.024958092754703	0.011175265412553549	0.0005587632706276774	0.0020487986589681506	0.26410877258334886	21.205194805194804	0.13506493506493505	0.02784318603474447	0.2212679531867844
kagan	dissent	AmEx	5.141958041958042	0.00675990675990676	0.0004662004662004662	0.0011655011655011655	0.25664335664335663	20.360714285714284	0.16428571428571428	0.04972886045832474	0.26179133726723003
kagan	dissent	Michigan	5.147	0.007571428571428572	0.0017142857142857142	0.001142857142857143	0.2067142857142857	21.784172661870503	0.14628297362110312	0.07562514130110053	0.2893162735324005
kagan	concurrence	Kirtsaeng	5.02803738317757	0.009345794392523364	0.0	0.001557632398753894	0.4236760124610592	25.054054054054053	0.13513513513513514	0.00993184743184743	0.09902743652743654
