Judge	Type	Case	Avg Word Len	Latin Terms	Second Person	Decisive Terms	Linguistic Diversity	Avg Sentence Len	Beg w/ Conjunction Sentences	Avg Polarity	Avg Subjectivity
scalia	majority	Sekhar	5.027533918595371	0.002793296089385475	0.0	0.0019952114924181963	0.30646448523543496	19.5	0.03763440860215054	0.015955847840928482	0.20292568057689025
scalia	majority	Freeman	5.041309012875536	0.0024141630901287556	0.0	0.001609442060085837	0.2655579399141631	30.08888888888889	0.05555555555555555	0.02356223907265575	0.2350406033010199
scalia	majority	AmericanExp	5.309812108559499	0.005427974947807933	0.0	0.0025052192066805845	0.3227557411273486	21.490909090909092	0.07272727272727272	0.04783495670995672	0.17809487734487736
scalia	majority	Whitfield	4.965827338129497	0.0008992805755395684	0.0	0.002697841726618705	0.4226618705035971	21.324675324675326	0.025974025974025976	0.007479128014842297	0.19922954030096884
scalia	majority	Arlington	5.317922219200435	0.003263530051672559	0.0	0.0024476475387544194	0.2692412292629861	23.14830508474576	0.038135593220338986	0.035742266796292214	0.21029742797221612
scalia	majority	Armstrong	5.198044009779951	0.0031435557107928748	0.0	0.0031435557107928748	0.3028292001397136	20.314285714285713	0.0380952380952381	0.017393058991273278	0.15236383292633288
scalia	majority	Arizona	5.20918984280532	0.0024183796856106408	0.00020153164046755341	0.0022168480451430876	0.24969770253929868	20.54913294797688	0.014450867052023121	0.031004034634814978	0.18843020071343775
scalia	majority	Burrage	4.940294715447155	0.001524390243902439	0.0	0.0005081300813008131	0.27134146341463417	24.630705394190873	0.012448132780082987	0.0032444540245370125	0.20018416495906116
scalia	majority	Utility	5.291698208427959	0.0020186727226848347	0.0	0.0010093363613424174	0.20792329043653798	23.019027484143763	0.035940803382663845	0.029253899485136285	0.23049588175116714
scalia	majority	Law	5.043740095087164	0.004754358161648178	0.0	0.001901743264659271	0.28779714738510304	21.619718309859156	0.051643192488262914	0.03373826291079813	0.1936210383997104
scalia	majority	EEOC	5.185396463205933	0.0011409013120365088	0.0	0.0017113519680547634	0.31089560752994866	23.06122448979592	0.030612244897959183	0.004227607709750564	0.24529174765144152
scalia	majority	RadLAX	4.919898513954331	0.0021747009786154403	0.0	0.001812250815512867	0.2671257702065966	27.20863309352518	0.050359712230215826	0.07059345380838188	0.27884413897453464
scalia	majority	Jesinoski	5.08767576509512	0.0008271298593879239	0.0	0.0016542597187758478	0.34739454094292804	21.213333333333335	0.04	0.03144444444444445	0.21933068783068785
scalia	majority	Shapiro	5.276740237691001	0.003961516694963215	0.0	0.003961516694963215	0.34974533106960953	20.61832061068702	0.015267175572519083	0.006842690812156461	0.1408462487470121
scalia	majority	MichiganEPA	5.278924001044659	0.0007834943849569079	0.0	0.004439801514755811	0.23191433794724473	20.432539682539684	0.051587301587301584	0.05965049726901343	0.29108672288359777
scalia	majority	Sandifer	5.0726609963547995	0.0029161603888213854	0.0	0.0031591737545565005	0.27217496962332927	24.44206008583691	0.055793991416309016	0.03329682749977047	0.22993681083886483
scalia	majority	Bormes	5.130598576810381	0.0025115110925073253	0.0	0.0008371703641691084	0.2758476349937212	21.36024844720497	0.012422360248447204	0.0357332027013704	0.2172291235334714
scalia	majority	Woods	5.25599104143337	0.0008958566629339306	0.0	0.0011198208286674132	0.23269876819708846	23.25	0.0625	0.022269256660997744	0.2025170289469954
scalia	majority	Sester	4.988255872063968	0.002748625687156422	0.0	0.0022488755622188904	0.2143928035982009	28.483333333333334	0.1	0.040836489898989914	0.2848157467532468
scalia	majority	Sackett	5.00834597875569	0.0018968133535660092	0.0	0.0030349013657056147	0.2731411229135053	21.633136094674555	0.0650887573964497	0.04708697285620363	0.22442612942612944
scalia	dissent	Dorsey	5.313462826523778	0.004018754186202277	0.0	0.003348961821835231	0.26624246483590086	26.7248322147651	0.06711409395973154	0.09654301887523366	0.32711778868658054
scalia	dissent	Ransom	4.936431989063568	0.007518796992481203	0.0	0.002050580997949419	0.3390293916609706	30.20967741935484	0.06451612903225806	0.03952284946236559	0.25239570888092394
scalia	dissent	Arizona	5.2171677215189876	0.00435126582278481	0.00039556962025316455	0.0015822784810126582	0.34810126582278483	23.100671140939596	0.09395973154362416	0.03735788493758293	0.22738659969784125
scalia	dissent	King	4.978986805668676	0.0037465385241896073	0.00032578595862518323	0.001791822772438508	0.21729923440299723	21.62568306010929	0.06830601092896176	0.026862556083867555	0.2710701258617926
scalia	dissent	NFIB	5.095934771294743	0.0025443821199329208	0.0	0.002428728387208697	0.15532296304863238	22.101518026565465	0.061669829222011384	0.030806208256355647	0.22440882745652854
scalia	dissent	American	5.110484780157836	0.007328072153325817	0.0	0.0016910935738444193	0.30016910935738444	21.70135746606335	0.05429864253393665	0.014690369543310718	0.23403450851980273
scalia	dissent	Gonzalez	4.935949572997154	0.00955673037820252	0.0	0.0034566897112647418	0.22509150061000407	24.44178082191781	0.07876712328767123	0.02465391747711953	0.1980054705568404
scalia	dissent	Young	5.263392857142857	0.005494505494505495	0.0	0.0010302197802197802	0.2661401098901099	21.629411764705882	0.06470588235294118	0.04407741808844752	0.27260180056871236
scalia	dissent	EPA	5.1858952413557	0.004450530640191715	0.0	0.003765833618623759	0.23485107839780897	24.813880126182966	0.08201892744479496	0.061452676456619656	0.28050099375696486
scalia	dissent	Abramski	4.770564695420187	0.006002667852378835	0.0	0.0022232103156958646	0.2349933303690529	27.103448275862068	0.09913793103448276	-0.00694786535303777	0.23629147851669408
