Rank	3gram	NumberOfTimes
0	(u'of', u'this', u'title')	55712
1	(u'the', u'united', u'states')	51241
2	(u'do', u'do', u'do')	47414
3	(u'of', u'the', u'united')	32230
4	(u'section', u'of', u'this')	27820
5	(u'the', u'secretary', u'of')	26389
6	(u'cited', u'to', u'text')	22068
7	(u'june', u'ch', u'stat')	20589
8	(u'secretary', u'of', u'the')	19877
9	(u'the', u'provisions', u'of')	17535
10	(u'section', u'of', u'title')	16083
11	(u'under', u'section', u'of')	15511
12	(u'of', u'this', u'section')	12821
13	(u'the', u'department', u'of')	12367
14	(u'mar', u'ch', u'stat')	11304
15	(u'with', u'respect', u'to')	10152
16	(u'note', u'under', u'section')	10049
17	(u'of', u'the', u'treasury')	9865
18	(u'july', u'ch', u'stat')	9723
19	(u'of', u'the', u'army')	9625
20	(u'not', u'more', u'than')	8870
21	(u'aug', u'ch', u'stat')	8069
22	(u'sections', u'and', u'of')	8037
23	(u'as', u'may', u'be')	7853
24	(u'shall', u'not', u'be')	7412
25	(u'may', u'ch', u'stat')	7343
26	(u'officers', u'and', u'employees')	7282
27	(u'provisions', u'of', u'this')	7196
28	(u'transfer', u'of', u'functions')	7195
29	(u'of', u'the', u'secretary')	6923
30	(u'the', u'date', u'of')	6910
31	(u'of', u'section', u'of')	6754
32	(u'by', u'the', u'secretary')	6726
33	(u'generally', u'this', u'index')	6696
34	(u'department', u'of', u'the')	6340
35	(u'of', u'the', u'interior')	6265
36	(u'of', u'the', u'navy')	6263
37	(u'officers', u'of', u'the')	6242
38	(u'and', u'of', u'this')	6143
39	(u'ch', u'title', u'ii')	5937
40	(u'by', u'section', u'of')	5913
41	(u'united', u'states', u'or')	5840
42	(u'stat', u'june', u'ch')	5785
43	(u'district', u'of', u'columbia')	5713
44	(u'sections', u'of', u'this')	5691
45	(u'in', u'accordance', u'with')	5683
46	(u'by', u'reorg', u'plan')	5629
47	(u'see', u'section', u'of')	5613
48	(u'all', u'functions', u'of')	5602
49	(u'of', u'the', u'department')	5465
50	(u'in', u'the', u'case')	5442
51	(u'to', u'the', u'secretary')	5429
52	(u'of', u'united', u'states')	5357
53	(u'feb', u'ch', u'stat')	5355
54	(u'united', u'states', u'and')	5285
55	(u'functions', u'of', u'all')	5278
56	(u'in', u'section', u'of')	5259
57	(u'set', u'out', u'in')	5227
58	(u'the', u'case', u'of')	5147
59	(u'june', u'ch', u'title')	5063
60	(u'rules', u'and', u'regulations')	5051
61	(u'in', u'this', u'section')	5001
62	(u'the', u'purposes', u'of')	4985
63	(u'amended', u'by', u'act')	4953
64	(u'section', u'of', u'act')	4926
65	(u'referred', u'to', u'in')	4910
66	(u'the', u'district', u'of')	4896
67	(u'of', u'title', u'executive')	4882
68	(u'is', u'authorized', u'to')	4867
69	(u'part', u'of', u'the')	4826
70	(u'note', u'set', u'out')	4823
71	(u'this', u'section', u'shall')	4784
72	(u'july', u'ch', u'title')	4736
73	(u'june', u'cited', u'to')	4733
74	(u'set', u'out', u'under')	4702
75	(u'act', u'june', u'cited')	4700
76	(u'of', u'war', u'was')	4693
77	(u'transferred', u'to', u'the')	4679
78	(u'the', u'coast', u'guard')	4657
79	(u'of', u'this', u'chapter')	4643
80	(u'see', u'note', u'set')	4638
81	(u'out', u'in', u'note')	4623
82	(u'the', u'purpose', u'of')	4573
83	(u'for', u'the', u'purpose')	4565
84	(u'of', u'this', u'act')	4565
85	(u'out', u'under', u'section')	4549
86	(u'this', u'title', u'shall')	4510
87	(u'ch', u'stat', u'june')	4493
88	(u'act', u'july', u'ch')	4453
89	(u'of', u'this', u'appendix')	4433
90	(u'ch', u'stat', u'eff')	4427
91	(u'this', u'title', u'and')	4397
92	(u'agencies', u'and', u'employees')	4394
93	(u'act', u'june', u'ch')	4361
94	(u'now', u'covered', u'by')	4344
95	(u'government', u'officers', u'and')	4331
96	(u'stat', u'eff', u'sept')	4327
97	(u'subject', u'to', u'the')	4320
98	(u'secretary', u'of', u'war')	4289
99	(u'and', u'government', u'officers')	4243
100	(u'to', u'text', u'amended')	4235
101	(u'the', u'amount', u'of')	4180
102	(u'in', u'note', u'under')	4168
103	(u'executive', u'departments', u'and')	4153
104	(u'at', u'the', u'time')	4119
105	(u'per', u'centum', u'of')	4101
106	(u'set', u'out', u'as')	4094
107	(u'provisions', u'of', u'section')	4088
108	(u'ch', u'stat', u'title')	4080
109	(u'stat', u'set', u'out')	4050
110	(u'of', u'the', u'federal')	4043
111	(u'provided', u'further', u'that')	4010
112	(u'see', u'note', u'under')	3997
113	(u'title', u'executive', u'departments')	3898
114	(u'functions', u'of', u'the')	3893
115	(u'by', u'the', u'president')	3830
116	(u'in', u'connection', u'with')	3810
117	(u'is', u'now', u'covered')	3800
118	(u'under', u'the', u'provisions')	3795
119	(u'revisers', u'notebased', u'on')	3778
120	(u'of', u'any', u'of')	3734
121	(u'shall', u'be', u'made')	3700
122	(u'history', u'revisers', u'notebased')	3689
123	(u'text', u'amended', u'section')	3669
124	(u'any', u'of', u'the')	3666
125	(u'effective', u'date', u'of')	3648
126	(u'legislative', u'history', u'revisers')	3574
127	(u'stat', u'mar', u'ch')	3571
128	(u'for', u'the', u'purposes')	3549
129	(u'and', u'shall', u'be')	3548
130	(u'pay', u'and', u'allowances')	3517
131	(u'and', u'of', u'title')	3507
132	(u'shall', u'be', u'deemed')	3493
133	(u'the', u'time', u'of')	3484
134	(u'by', u'act', u'july')	3448
135	(u'departments', u'and', u'government')	3439
136	(u'as', u'provided', u'in')	3436
137	(u'prior', u'to', u'the')	3407
138	(u'apr', u'ch', u'stat')	3404
139	(u'under', u'this', u'section')	3371
140	(u'covered', u'by', u'section')	3351
141	(u'of', u'the', u'court')	3303
142	(u'in', u'the', u'united')	3279
143	(u'to', u'the', u'united')	3260
144	(u'provided', u'that', u'the')	3241
145	(u'sept', u'legislative', u'history')	3230
146	(u'section', u'of', u'the')	3194
147	(u'the', u'number', u'of')	3158
148	(u'title', u'of', u'the')	3119
149	(u'ch', u'stat', u'mar')	3110
150	(u'notebased', u'on', u'title')	3093
151	(u'this', u'title', u'the')	3090
152	(u'and', u'employees', u'of')	3090
153	(u'as', u'he', u'may')	3088
