Rank	4gram	NumberOfTimes
<<<<<<< HEAD
0	(u'do', u'do', u'do', u'do')	17349
1	(u'of', u'the', u'united', u'states')	14946
2	(u'the', u'secretary', u'of', u'the')	6202
3	(u'section', u'of', u'this', u'title')	4938
4	(u'the', u'provisions', u'of', u'this')	3987
5	(u'secretary', u'of', u'the', u'treasury')	2958
6	(u'the', u'united', u'states', u'or')	2766
7	(u'the', u'united', u'states', u'and')	2616
8	(u'by', u'the', u'secretary', u'of')	2524
9	(u'in', u'the', u'case', u'of')	2506
10	(u'for', u'the', u'purpose', u'of')	2354
11	(u'of', u'the', u'secretary', u'of')	2190
12	(u'the', u'district', u'of', u'columbia')	2143
13	(u'secretary', u'of', u'the', u'interior')	2119
14	(u'under', u'the', u'provisions', u'of')	2098
15	(u'the', u'approval', u'of', u'the')	2026
16	(u'to', u'the', u'united', u'states')	1957
17	(u'the', u'secretary', u'of', u'agriculture')	1859
18	(u'in', u'the', u'united', u'states')	1727
19	(u'from', u'time', u'to', u'time')	1627
20	(u'with', u'the', u'approval', u'of')	1617
21	(u'provisions', u'of', u'this', u'chapter')	1588
22	(u'of', u'this', u'title', u'shall')	1553
23	(u'by', u'the', u'united', u'states')	1515
24	(u'to', u'of', u'this', u'title')	1492
25	(u'provisions', u'of', u'this', u'section')	1404
26	(u'the', u'secretary', u'of', u'war')	1402
27	(u'for', u'the', u'purposes', u'of')	1399
28	(u'act', u'june', u'cited', u'to')	1389
29	(u'the', u'provisions', u'of', u'section')	1362
30	(u'per', u'centum', u'of', u'the')	1349
31	(u'sections', u'to', u'of', u'this')	1322
32	(u'the', u'united', u'states', u'shall')	1284
33	(u'in', u'accordance', u'with', u'the')	1257
34	(u'in', u'section', u'of', u'this')	1255
35	(u'to', u'the', u'provisions', u'of')	1232
36	(u'approval', u'of', u'the', u'secretary')	1184
37	(u'at', u'the', u'time', u'of')	1181
38	(u'june', u'cited', u'to', u'text')	1176
39	(u'the', u'purposes', u'of', u'this')	1167
40	(u'of', u'section', u'of', u'this')	1149
41	(u'see', u'note', u'under', u'section')	1136
42	(u'shall', u'be', u'subject', u'to')	1129
43	(u'as', u'may', u'be', u'necessary')	1114
44	(u'with', u'the', u'provisions', u'of')	1112
45	(u'see', u'section', u'of', u'this')	1097
46	(u'the', u'united', u'states', u'in')	1092
47	(u'court', u'of', u'the', u'united')	1090
48	(u'the', u'provisions', u'of', u'sections')	1080
49	(u'of', u'this', u'title', u'and')	1067
50	(u'this', u'section', u'shall', u'be')	1045
51	(u'the', u'united', u'states', u'for')	1007
52	(u'the', u'united', u'states', u'to')	983
53	(u'such', u'rules', u'and', u'regulations')	965
54	(u'note', u'under', u'section', u'ante')	955
55	(u'and', u'of', u'this', u'title')	952
56	(u'under', u'section', u'of', u'this')	945
57	(u'laws', u'of', u'the', u'united')	940
58	(u'stat', u'see', u'section', u'of')	933
59	(u'the', u'amount', u'of', u'the')	931
60	(u'shall', u'not', u'apply', u'to')	930
61	(u'the', u'date', u'of', u'the')	915
62	(u'of', u'the', u'provisions', u'of')	907
63	(u'per', u'centum', u'ad', u'valorem')	904
64	(u'to', u'the', u'secretary', u'of')	901
65	(u'be', u'the', u'duty', u'of')	890
66	(u'secretary', u'of', u'the', u'navy')	889
67	(u'whole', u'or', u'in', u'part')	880
68	(u'it', u'shall', u'be', u'the')	880
69	(u'of', u'the', u'federal', u'reserve')	874
70	(u'in', u'whole', u'or', u'in')	871
71	(u'the', u'laws', u'of', u'the')	870
72	(u'of', u'act', u'june', u'cited')	867
73	(u'shall', u'be', u'the', u'duty')	862
74	(u'not', u'more', u'than', u'or')	858
75	(u'cited', u'to', u'text', u'see')	834
76	(u'the', u'name', u'of', u'the')	826
77	(u'is', u'hereby', u'authorized', u'to')	823
78	(u'of', u'this', u'section', u'shall')	818
79	(u'rules', u'and', u'regulations', u'as')	812
80	(u'shall', u'be', u'entitled', u'to')	811
81	(u'in', u'the', u'same', u'manner')	808
82	(u'the', u'united', u'states', u'the')	806
83	(u'as', u'provided', u'in', u'section')	801
84	(u'provisions', u'of', u'section', u'of')	799
85	(u'this', u'chapter', u'shall', u'be')	785
86	(u'was', u'repealed', u'by', u'act')	779
87	(u'from', u'the', u'date', u'of')	778
88	(u'this', u'title', u'shall', u'be')	772
89	(u'as', u'the', u'secretary', u'of')	770
90	(u'date', u'construction', u'etc', u'of')	765
91	(u'effective', u'date', u'construction', u'etc')	765
92	(u'to', u'text', u'see', u'note')	760
93	(u'of', u'this', u'chapter', u'or')	759
94	(u'of', u'not', u'more', u'than')	759
95	(u'text', u'see', u'note', u'under')	757
96	(u'etc', u'of', u'act', u'june')	757
97	(u'construction', u'etc', u'of', u'act')	755
98	(u'sections', u'and', u'of', u'this')	751
99	(u'be', u'prescribed', u'by', u'the')	728
100	(u'section', u'of', u'this', u'chapter')	723
101	(u'stat', u'effective', u'date', u'construction')	720
102	(u'not', u'in', u'excess', u'of')	711
103	(u'of', u'not', u'less', u'than')	702
104	(u'the', u'discretion', u'of', u'the')	697
105	(u'rules', u'of', u'civil', u'procedure')	696
106	(u'at', u'the', u'rate', u'of')	695
107	(u'of', u'this', u'title', u'the')	694
108	(u'with', u'respect', u'to', u'the')	691
109	(u'the', u'secre', u'tary', u'of')	691
110	(u'to', u'carry', u'out', u'the')	669
111	(u'the', u'united', u'states', u'of')	668
112	(u'of', u'sections', u'to', u'of')	668
113	(u'the', u'secretary', u'of', u'commerce')	667
114	(u'be', u'subject', u'to', u'the')	659
115	(u'the', u'duty', u'of', u'the')	658
116	(u'for', u'the', u'use', u'of')	653
117	(u'fined', u'not', u'more', u'than')	651
118	(u'of', u'this', u'chapter', u'and')	644
119	(u'of', u'this', u'chapter', u'shall')	636
120	(u'be', u'fined', u'not', u'more')	624
121	(u'shall', u'be', u'deemed', u'to')	619
122	(u'of', u'this', u'title', u'or')	619
123	(u'within', u'the', u'united', u'states')	617
124	(u'in', u'addition', u'to', u'the')	617
125	(u'in', u'excess', u'of', u'per')	616
126	(u'the', u'provisions', u'of', u'the')	613
127	(u'under', u'such', u'regulations', u'as')	612
128	(u'under', u'the', u'laws', u'of')	607
129	(u'the', u'treasury', u'of', u'the')	601
130	(u'provisions', u'of', u'sections', u'to')	600
131	(u'subject', u'to', u'the', u'provisions')	597
132	(u'shall', u'be', u'construed', u'to')	595
133	(u'of', u'the', u'district', u'of')	591
134	(u'district', u'court', u'of', u'the')	588
135	(u'out', u'the', u'provisions', u'of')	587
136	(u'it', u'shall', u'be', u'unlawful')	587
137	(u'the', u'united', u'states', u'as')	583
138	(u'this', u'section', u'shall', u'not')	578
139	(u'the', u'pro', u'visions', u'of')	578
