Rank	3gram	NumberOfTimes
<<<<<<< HEAD
0	(u'the', u'united', u'states')	33083
1	(u'of', u'this', u'title')	25430
2	(u'do', u'do', u'do')	24025
3	(u'of', u'the', u'united')	20410
4	(u'the', u'secretary', u'of')	13975
5	(u'cited', u'to', u'text')	12498
6	(u'section', u'of', u'this')	12373
7	(u'the', u'provisions', u'of')	11461
8	(u'june', u'ch', u'stat')	10479
9	(u'secretary', u'of', u'the')	8900
10	(u'mar', u'ch', u'stat')	7752
11	(u'with', u'respect', u'to')	6490
12	(u'of', u'this', u'section')	6274
13	(u'july', u'ch', u'stat')	6015
14	(u'as', u'may', u'be')	5251
15	(u'generally', u'this', u'index')	5248
16	(u'provisions', u'of', u'this')	5143
17	(u'may', u'ch', u'stat')	4891
18	(u'shall', u'not', u'be')	4843
19	(u'under', u'section', u'of')	4633
20	(u'rules', u'and', u'regulations')	4311
21	(u'of', u'the', u'treasury')	4223
22	(u'the', u'date', u'of')	4178
23	(u'in', u'the', u'case')	4013
24	(u'sections', u'of', u'this')	3966
25	(u'not', u'more', u'than')	3915
26	(u'the', u'case', u'of')	3900
27	(u'feb', u'ch', u'stat')	3870
28	(u'united', u'states', u'and')	3867
29	(u'of', u'the', u'navy')	3841
30	(u'the', u'amount', u'of')	3797
31	(u'by', u'the', u'secretary')	3730
32	(u'note', u'under', u'section')	3718
33	(u'section', u'of', u'title')	3678
34	(u'of', u'the', u'secretary')	3674
35	(u'of', u'the', u'interior')	3637
36	(u'united', u'states', u'or')	3636
37	(u'in', u'accordance', u'with')	3559
38	(u'aug', u'ch', u'stat')	3528
39	(u'district', u'of', u'columbia')	3483
40	(u'see', u'section', u'of')	3405
41	(u'stat', u'june', u'ch')	3363
42	(u'the', u'purposes', u'of')	3361
43	(u'of', u'this', u'chapter')	3350
44	(u'this', u'title', u'shall')	3275
45	(u'secretary', u'of', u'war')	3080
46	(u'this', u'section', u'shall')	3038
47	(u'see', u'note', u'under')	3037
48	(u'subject', u'to', u'the')	3008
49	(u'ch', u'stat', u'title')	2987
50	(u'act', u'june', u'ch')	2977
51	(u'for', u'the', u'purpose')	2972
52	(u'per', u'centum', u'of')	2898
53	(u'the', u'purpose', u'of')	2892
54	(u'the', u'district', u'of')	2891
55	(u'part', u'of', u'the')	2798
56	(u'provided', u'further', u'that')	2796
57	(u'ch', u'stat', u'june')	2740
58	(u'amended', u'by', u'act')	2739
59	(u'of', u'section', u'of')	2710
60	(u'under', u'the', u'provisions')	2682
61	(u'pay', u'and', u'allowances')	2667
62	(u'for', u'the', u'purposes')	2651
63	(u'the', u'approval', u'of')	2644
64	(u'sections', u'and', u'of')	2640
65	(u'approval', u'of', u'the')	2612
66	(u'and', u'of', u'this')	2559
67	(u'any', u'of', u'the')	2536
68	(u'in', u'connection', u'with')	2532
69	(u'shall', u'be', u'made')	2522
70	(u'is', u'authorized', u'to')	2503
71	(u'of', u'this', u'appendix')	2497
72	(u'of', u'united', u'states')	2469
73	(u'in', u'section', u'of')	2426
74	(u'apr', u'ch', u'stat')	2411
75	(u'of', u'this', u'act')	2406
76	(u'it', u'shall', u'be')	2341
77	(u'dec', u'ch', u'stat')	2327
78	(u'at', u'the', u'time')	2326
79	(u'and', u'shall', u'be')	2282
80	(u'to', u'the', u'united')	2263
81	(u'shall', u'be', u'paid')	2254
82	(u'section', u'of', u'act')	2248
83	(u'this', u'title', u'and')	2208
84	(u'in', u'excess', u'of')	2196
85	(u'as', u'provided', u'in')	2190
86	(u'in', u'this', u'section')	2172
87	(u'secretary', u'of', u'agriculture')	2166
88	(u'officers', u'and', u'employees')	2156
89	(u'oct', u'cited', u'to')	2138
90	(u'of', u'any', u'such')	2132
91	(u'in', u'the', u'united')	2131
92	(u'act', u'oct', u'cited')	2131
93	(u'by', u'the', u'president')	2129
94	(u'stat', u'mar', u'ch')	2123
95	(u'by', u'section', u'of')	2112
96	(u'as', u'he', u'may')	2102
97	(u'provisions', u'of', u'sections')	2081
98	(u'june', u'cited', u'to')	2081
99	(u'act', u'mar', u'ch')	2079
100	(u'centum', u'of', u'the')	2074
