Rank	4gram	NumberOfTimes
0	(u'of', u'the', u'united', u'states')	12844
1	(u'do', u'do', u'do', u'do')	11157
2	(u'the', u'secretary', u'of', u'the')	5349
3	(u'for', u'title', u'of', u'act')	4391
4	(u'act', u'see', u'note', u'to')	4149
5	(u'title', u'of', u'act', u'see')	4116
6	(u'of', u'act', u'see', u'note')	4106
7	(u'section', u'of', u'this', u'title')	3819
8	(u'stat', u'for', u'title', u'of')	3265
9	(u'the', u'provisions', u'of', u'this')	2975
10	(u'secretary', u'of', u'the', u'treasury')	2761
11	(u'entitled', u'an', u'act', u'to')	2668
12	(u'by', u'the', u'secretary', u'of')	2667
13	(u'per', u'centum', u'ad', u'valorem')	2622
14	(u'stat', u'see', u'note', u'to')	2491
15	(u'the', u'district', u'of', u'columbia')	2470
16	(u'cited', u'to', u'the', u'text')	2450
17	(u'the', u'revenue', u'act', u'of')	2441
18	(u'secretary', u'of', u'the', u'interior')	2409
19	(u'of', u'this', u'section', u'should')	2246
20	(u'the', u'united', u'states', u'and')	2235
21	(u'the', u'united', u'states', u'or')	2158
22	(u'of', u'the', u'secretary', u'of')	2141
23	(u'new', u'this', u'section', u'constitutes')	2135
24	(u'under', u'the', u'provisions', u'of')	2094
25	(u'of', u'the', u'revenue', u'act')	2051
26	(u'to', u'the', u'united', u'states')	2050
27	(u'the', u'secretary', u'of', u'war')	2004
28	(u'in', u'the', u'case', u'of')	1988
29	(u'line', u'of', u'this', u'section')	1941
30	(u'act', u'cited', u'to', u'the')	1895
31	(u'the', u'act', u'cited', u'to')	1847
32	(u'section', u'constitutes', u'of', u'act')	1786
33	(u'in', u'the', u'united', u'states')	1763
34	(u'the', u'approval', u'of', u'the')	1695
35	(u'this', u'section', u'should', u'read')	1689
36	(u'section', u'was', u'repealed', u'by')	1687
37	(u'this', u'section', u'was', u'repealed')	1676
38	(u'to', u'the', u'text', u'was')	1617
39	(u'for', u'the', u'purpose', u'of')	1599
40	(u'in', u'line', u'of', u'this')	1593
41	(u'this', u'section', u'constitutes', u'of')	1550
42	(u'to', u'of', u'this', u'title')	1540
43	(u'was', u'entitled', u'an', u'act')	1534
